event_id,city,tier,start_date,date_inherited,source_line,pdf_page,source_id,rights_scope
G001,"PERTH, SYDNEY",UNITED CUP,2026-01-02,False,"1 02 JAN PERTH, SYDNEY 6 UNITED CUP UNITED CUP H 18 TEAMS",15,v5_atp_media_guide_lta,Requires separate rights confirmation
G002,JAN BRISBANE,ATP 250,2026-01-04,False,04 JAN BRISBANE ATP 250 BRISBANE INTERNATIONAL PRESENTED BY ANZ H 32,15,v5_atp_media_guide_lta,ATP regular tour candidate
G003,JAN HONG KONG,ATP 250,2026-01-05,False,05 JAN HONG KONG ATP 250 BANK OF CHINA HONG KONG TENNIS OPEN H 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G004,ADELAIDE,ATP 250,2026-01-12,False,2 12 JAN ADELAIDE 8 ATP 250 ADELAIDE INTERNATIONAL H 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G005,AUCKLAND,ATP 250,2026-01-12,True,AUCKLAND 8 ATP 250 ASB CLASSIC H 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G006,MELBOURNE,GRAND SLAM,2026-01-18,False,3 18 JAN MELBOURNE 1 GRAND SLAM AUSTRALIAN OPEN * H 128,15,v5_atp_media_guide_lta,Requires separate rights confirmation
G007,MONTPELLIER,ATP 250,2026-02-02,False,5 02 FEB MONTPELLIER ATP 250 OPEN OCCITANIE IH 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G008,DALLAS,ATP 500,2026-02-09,False,6 09 FEB DALLAS ATP 500 DALLAS OPEN IH 32,15,v5_atp_media_guide_lta,ATP regular tour candidate
G009,ROTTERDAM,ATP 500,2026-02-09,True,ROTTERDAM ATP 500 ABN AMRO OPEN IH 32,15,v5_atp_media_guide_lta,ATP regular tour candidate
G010,BUENOS AIRES,ATP 250,2026-02-09,True,BUENOS AIRES ATP 250 IEB+ ARGENTINA OPEN CL 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G011,DOHA,ATP 500,2026-02-16,False,7 16 FEB DOHA 8 ATP 500 QATAR EXXONMOBIL OPEN H 32,15,v5_atp_media_guide_lta,ATP regular tour candidate
G012,RIO DE JANEIRO,ATP 500,2026-02-16,True,RIO DE JANEIRO ATP 500 RIO OPEN PRESENTED BY CLARO CL 32,15,v5_atp_media_guide_lta,ATP regular tour candidate
G013,DELRAY BEACH,ATP 250,2026-02-16,True,DELRAY BEACH ATP 250 DELRAY BEACH OPEN H 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G014,ACAPULCO,ATP 500,2026-02-23,False,8 23 FEB ACAPULCO 8 ATP 500 ABIERTO MEXICANO TELCEL PRESENTADO POR HSBC H 32,15,v5_atp_media_guide_lta,ATP regular tour candidate
G015,DUBAI,ATP 500,2026-02-23,True,DUBAI 8 ATP 500 DUBAI DUTY FREE TENNIS CHAMPIONSHIPS H 32,15,v5_atp_media_guide_lta,ATP regular tour candidate
G016,SANTIAGO,ATP 250,2026-02-23,True,SANTIAGO ATP 250 BCI SEGUROS CHILE OPEN CL 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G017,INDIAN WELLS,ATP MASTERS 1000,2026-03-04,False,9 04 MAR INDIAN WELLS 4 ATP MASTERS 1000 BNP PARIBAS OPEN H 96,15,v5_atp_media_guide_lta,ATP regular tour candidate
G018,MIAMI,ATP MASTERS 1000,2026-03-18,False,11 18 MAR MIAMI 4 ATP MASTERS 1000 MIAMI OPEN PRESENTED BY ITAU H 96,15,v5_atp_media_guide_lta,ATP regular tour candidate
G019,BUCHAREST,ATP 250,2026-03-30,False,13 30 MAR BUCHAREST ATP 250 TIRIAC OPEN PRESENTED BY UNICREDIT BANK CL 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G020,HOUSTON,ATP 250,2026-03-30,True,HOUSTON ATP 250 FAYEZ SAROFIM & CO. U.S. MEN’S CLAY COURT CHAMPIONSHIPCL 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G021,MARRAKECH,ATP 250,2026-03-30,True,MARRAKECH ATP 250 GRAND PRIX HASSAN II CL 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G022,MONTE-CARLO,ATP MASTERS 1000,2026-04-05,False,14 05 APR MONTE-CARLO 1 ATP MASTERS 1000 ROLEX MONTE-CARLO MASTERS CL 56,15,v5_atp_media_guide_lta,ATP regular tour candidate
G023,BARCELONA,ATP 500,2026-04-13,False,15 13 APR BARCELONA ATP 500 BARCELONA OPEN BANC SABADELL CL 32,15,v5_atp_media_guide_lta,ATP regular tour candidate
G024,MUNICH,ATP 500,2026-04-13,True,MUNICH ATP 500 BMW OPEN BY BITPANDA CL 32,15,v5_atp_media_guide_lta,ATP regular tour candidate
G025,MADRID,ATP MASTERS 1000,2026-04-22,False,16 22 APR MADRID 4 ATP MASTERS 1000 MUTUA MADRID OPEN CL 96,15,v5_atp_media_guide_lta,ATP regular tour candidate
G026,ROME,ATP MASTERS 1000,2026-05-06,False,18 06 MAY ROME 4 ATP MASTERS 1000 INTERNAZIONALI BNL D’ITALIA CL 96,15,v5_atp_media_guide_lta,ATP regular tour candidate
G027,"HAMBURG 1,",ATP 500,2026-05-17,False,"20 17 MAY HAMBURG 1, 8 ATP 500 BITPANDA HAMBURG OPEN CL 32",15,v5_atp_media_guide_lta,ATP regular tour candidate
G028,"GENEVA 1,",ATP 250,2026-05-17,True,"GENEVA 1, 8 ATP 250 GONET GENEVA OPEN CL 28",15,v5_atp_media_guide_lta,ATP regular tour candidate
G029,PARIS,GRAND SLAM,2026-05-24,False,21 24 MAY PARIS 1 GRAND SLAM ROLAND-GARROS * CL 128,15,v5_atp_media_guide_lta,Requires separate rights confirmation
G030,’S-HERTOGENBOSCH,ATP 250,2026-06-08,False,23 08 JUN ’S-HERTOGENBOSCH ATP 250 LIBEMA OPEN G 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G031,STUTTGART,ATP 250,2026-06-08,True,STUTTGART ATP 250 BOSS OPEN G 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G032,HALLE,ATP 500,2026-06-15,False,24 15 JUN HALLE ATP 500 TERRA WORTMANN OPEN G 32,15,v5_atp_media_guide_lta,ATP regular tour candidate
G033,LONDON,ATP 500,2026-06-15,True,LONDON ATP 500 HSBC CHAMPIONSHIPS G 32,15,v5_atp_media_guide_lta,ATP regular tour candidate
G034,"MALLORCA 1,",ATP 250,2026-06-21,False,"25 21 JUN MALLORCA 1, 8 ATP 250 VANDA PHARMACEUTICALS MALLORCA CHAMPIONSHIPS G 28",15,v5_atp_media_guide_lta,ATP regular tour candidate
G035,JUN EASTBOURNE,ATP 250,2026-06-22,False,22 JUN EASTBOURNE 8 ATP 250 LEXUS EASTBOURNE OPEN G 28,15,v5_atp_media_guide_lta,ATP regular tour candidate
G036,LONDON,GRAND SLAM,2026-06-29,False,"26 29 JUN LONDON GRAND SLAM THE CHAMPIONSHIPS, WIMBLEDON* G 128",15,v5_atp_media_guide_lta,Requires separate rights confirmation
G037,BASTAD,ATP 250,2026-07-13,False,28 13 JUL BASTAD ATP 250 NORDEA OPEN CL 28,16,v5_atp_media_guide_lta,ATP regular tour candidate
G038,GSTAAD,ATP 250,2026-07-13,True,GSTAAD ATP 250 EFG SWISS OPEN GSTAAD CL 28,16,v5_atp_media_guide_lta,ATP regular tour candidate
G039,UMAG,ATP 250,2026-07-13,True,UMAG ATP 250 PLAVA LAGUNA CROATIA OPEN UMAG CL 28,16,v5_atp_media_guide_lta,ATP regular tour candidate
G040,KITZBUHEL,ATP 250,2026-07-20,False,29 20 JUL KITZBUHEL 8 ATP 250 GENERALI OPEN CL 28,16,v5_atp_media_guide_lta,ATP regular tour candidate
G041,ESTORIL,ATP 250,2026-07-20,True,ESTORIL ATP 250 MILLENIUM ESTORIL OPEN CL 28,16,v5_atp_media_guide_lta,ATP regular tour candidate
G042,"WASHINGTON, D.C.",ATP 500,2026-07-27,False,"30 27 JUL WASHINGTON, D.C. ATP 500 MUBADALA CITI DC OPEN H 32",16,v5_atp_media_guide_lta,ATP regular tour candidate
G043,LOS CABOS,ATP 250,2026-07-27,True,LOS CABOS 8 ATP 250 MIFEL TENNIS OPEN BY TELCEL OPPO H 28,16,v5_atp_media_guide_lta,ATP regular tour candidate
G044,"MONTREAL 1,",ATP MASTERS 1000,2026-08-02,False,"31 02 AUG MONTREAL 1, 12 ATP MASTERS 1000 NATIONAL BANK OPEN PRESENTED BY ROGERS H 96",16,v5_atp_media_guide_lta,ATP regular tour candidate
G045,"CINCINNATI 5,",ATP MASTERS 1000,2026-08-13,False,"32 13 AUG CINCINNATI 5, 9 ATP MASTERS 1000 CINCINNATI OPEN H 96",16,v5_atp_media_guide_lta,ATP regular tour candidate
G046,"WINSTON-SALEM 1,",ATP 250,2026-08-23,False,"34 23 AUG WINSTON-SALEM 1, 8 ATP 250 WINSTON-SALEM OPEN H 48",16,v5_atp_media_guide_lta,ATP regular tour candidate
G047,NEW YORK,GRAND SLAM,2026-08-31,False,35 31 AUG NEW YORK GRAND SLAM US OPEN * H 128,16,v5_atp_media_guide_lta,Requires separate rights confirmation
G048,"CHENGDU 4,",ATP 250,2026-09-23,False,"38 23 SEP CHENGDU 4, 10 ATP 250 CHENGDU OPEN H 28",16,v5_atp_media_guide_lta,ATP regular tour candidate
G049,"HANGZHOU 4,",ATP 250,2026-09-23,True,"HANGZHOU 4, 10 ATP 250 LYNK & CO HANGZHOU OPEN H 28",16,v5_atp_media_guide_lta,ATP regular tour candidate
G050,SEP LONDON,LAVER CUP,2026-09-25,False,25 SEP LONDON 6 LAVER CUP LAVER CUP IH 2 TEAMS,16,v5_atp_media_guide_lta,Requires separate rights confirmation
G051,"TOKYO 4,",ATP 500,2026-09-30,False,"39 30 SEP TOKYO 4, 10 ATP 500 KINOSHITA GROUP JAPAN OPEN TENNIS CHAMPIONSHIPS H 32",16,v5_atp_media_guide_lta,ATP regular tour candidate
G052,"BEIJING 4,",ATP 500,2026-09-30,True,"BEIJING 4, 10 ATP 500 CHINA OPEN H 32",16,v5_atp_media_guide_lta,ATP regular tour candidate
G053,SHANGHAI,ATP MASTERS 1000,2026-10-07,False,40 07 OCT SHANGHAI 4 ATP MASTERS 1000 ROLEX SHANGHAI MASTERS H 96,16,v5_atp_media_guide_lta,ATP regular tour candidate
G054,ALMATY,ATP 250,2026-10-19,False,42 19 OCT ALMATY ATP 250 ALMATY OPEN IH 28,16,v5_atp_media_guide_lta,ATP regular tour candidate
G055,BRUSSELS,ATP 250,2026-10-19,True,BRUSSELS ATP 250 BNP PARIBAS FORTIS EUROPEAN OPEN IH 28,16,v5_atp_media_guide_lta,ATP regular tour candidate
G056,LYON,ATP 250,2026-10-19,True,LYON ATP 250 GRAND PRIX AUVERGNE-RHONE-ALPES IH 28,16,v5_atp_media_guide_lta,ATP regular tour candidate
G057,BASEL,ATP 500,2026-10-26,False,43 26 OCT BASEL ATP 500 SWISS INDOORS BASEL IH 32,16,v5_atp_media_guide_lta,ATP regular tour candidate
