event,tier,date_local,time_local,timezone,source_id,time_semantics,round,slot_id,locator,extraction_method,end_time_observed,ex_ante_availability_verified,start_utc,start_ist,hour_ist,date_ist,weekday_ist,source_url
Brisbane,250,2026-01-11,18:30,Australia/Brisbane,brisbane_oop_20260111,not_before,Singles final,ATP001,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-01-11 08:30:00+00:00,2026-01-11 14:00:00+05:30,14.0,2026-01-11,Sunday,https://www.tennis.com.au/content/dam/tennisaustralia/tennis-topic/sot/brisbane/documents/main-draw/orders-of-play/brisbane-international-order-of-play-20260111-v3.pdf.coredownload.pdf
Hong Kong,250,2026-01-11,15:30,Asia/Hong_Kong,hongkong_2026_official_op,scheduled,Singles final,ATP002,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-01-11 07:30:00+00:00,2026-01-11 13:00:00+05:30,13.0,2026-01-11,Sunday,https://www.protennislive.com/posting/2026/336/op.pdf
Rotterdam,500,2026-02-15,15:30,Europe/Amsterdam,rotterdam_2026_official_op,not_before,Singles final,ATP003,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-02-15 14:30:00+00:00,2026-02-15 20:00:00+05:30,20.0,2026-02-15,Sunday,https://www.protennislive.com/posting/2026/407/op.pdf
Doha,500,2026-02-21,21:00,Asia/Qatar,doha_2026_official_op,scheduled,Singles final,ATP004,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-02-21 18:00:00+00:00,2026-02-21 23:30:00+05:30,23.5,2026-02-21,Saturday,https://www.protennislive.com/posting/2026/451/op.pdf
Dubai,500,2026-02-28,19:00,Asia/Dubai,dubai_2026_official_op,not_before,Singles final,ATP005,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-02-28 15:00:00+00:00,2026-02-28 20:30:00+05:30,20.5,2026-02-28,Saturday,https://www.protennislive.com/posting/2026/495/op.pdf
Indian Wells,Masters,2026-03-15,14:00,America/Los_Angeles,indian_wells_2026_official_op,not_before,Singles final,ATP006,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-03-15 21:00:00+00:00,2026-03-16 02:30:00+05:30,2.5,2026-03-16,Monday,https://www.protennislive.com/posting/2026/404/op.pdf
Miami,Masters,2026-03-29,12:30,America/New_York,miami_2026_official_op,scheduled,Singles final,ATP007,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-03-29 16:30:00+00:00,2026-03-29 22:00:00+05:30,22.0,2026-03-29,Sunday,https://www.protennislive.com/posting/2026/403/op.pdf
Marrakech,250,2026-04-05,15:00,Africa/Casablanca,marrakech_2026_official_op,scheduled,Singles final,ATP008,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-04-05 14:00:00+00:00,2026-04-05 19:30:00+05:30,19.5,2026-04-05,Sunday,https://www.protennislive.com/posting/2026/360/op.pdf
Madrid,Masters,2026-05-03,17:00,Europe/Madrid,madrid_2026_official_op,not_before,Singles final,ATP009,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-05-03 15:00:00+00:00,2026-05-03 20:30:00+05:30,20.5,2026-05-03,Sunday,https://www.protennislive.com/posting/2026/1536/op.pdf
Rome,Masters,2026-05-17,17:00,Europe/Rome,rome_2026_official_op,not_before,Singles final,ATP010,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-05-17 15:00:00+00:00,2026-05-17 20:30:00+05:30,20.5,2026-05-17,Sunday,https://www.protennislive.com/posting/2026/416/op.pdf
Halle,500,2026-06-21,15:30,Europe/Berlin,halle_2026_official_op,not_before,Singles final,ATP011,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-06-21 13:30:00+00:00,2026-06-21 19:00:00+05:30,19.0,2026-06-21,Sunday,https://www.protennislive.com/posting/2026/500/op.pdf
Winston-Salem,250,2026-08-29,16:00,America/New_York,winston_oop_pdf,not_before,Singles final,ATP012,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-08-29 20:00:00+00:00,2026-08-30 01:30:00+05:30,1.5,2026-08-30,Sunday,https://www.protennislive.com/posting/2026/6242/op.pdf
Brisbane,250,2026-01-05,13:00,Australia/Brisbane,brisbane_oop_20260105,not_before,Singles,ATP013,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-01-05 03:00:00+00:00,2026-01-05 08:30:00+05:30,8.5,2026-01-05,Monday,https://www.tennis.com.au/content/dam/tennisaustralia/tennis-topic/sot/brisbane/documents/main-draw/orders-of-play/brisbane-international-order-of-play-20260105-v2.pdf.coredownload.pdf
Brisbane,250,2026-01-05,18:30,Australia/Brisbane,brisbane_oop_20260105,not_before,Singles,ATP014,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-01-05 08:30:00+00:00,2026-01-05 14:00:00+05:30,14.0,2026-01-05,Monday,https://www.tennis.com.au/content/dam/tennisaustralia/tennis-topic/sot/brisbane/documents/main-draw/orders-of-play/brisbane-international-order-of-play-20260105-v2.pdf.coredownload.pdf
Brisbane,250,2026-01-10,13:00,Australia/Brisbane,brisbane_oop_20260110,not_before,Singles semifinal,ATP015,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-01-10 03:00:00+00:00,2026-01-10 08:30:00+05:30,8.5,2026-01-10,Saturday,https://www.tennis.com.au/content/dam/tennisaustralia/tennis-topic/sot/brisbane/documents/main-draw/orders-of-play/brisbane-international-order-of-play-20260110-v3.pdf.coredownload.pdf
Brisbane,250,2026-01-10,18:30,Australia/Brisbane,brisbane_oop_20260110,not_before,Singles semifinal,ATP016,PDF page 1,Manual transcription of identified ATP singles slot,False,False,2026-01-10 08:30:00+00:00,2026-01-10 14:00:00+05:30,14.0,2026-01-10,Saturday,https://www.tennis.com.au/content/dam/tennisaustralia/tennis-topic/sot/brisbane/documents/main-draw/orders-of-play/brisbane-international-order-of-play-20260110-v3.pdf.coredownload.pdf
Winston-Salem,250,2026-08-28,16:00,America/New_York,winston_semifinal_oop,not_before,Singles semifinal,ATP017,Friday August 28 stadium schedule,Manual transcription of identified ATP singles slot,False,False,2026-08-28 20:00:00+00:00,2026-08-29 01:30:00+05:30,1.5,2026-08-29,Saturday,https://www.winstonsalemopen.com/en/scores/schedule?dayToDisplay=7
Winston-Salem,250,2026-08-28,18:30,America/New_York,winston_semifinal_oop,not_before,Singles semifinal,ATP018,Friday August 28 stadium schedule,Manual transcription of identified ATP singles slot,False,False,2026-08-28 22:30:00+00:00,2026-08-29 04:00:00+05:30,4.0,2026-08-29,Saturday,https://www.winstonsalemopen.com/en/scores/schedule?dayToDisplay=7
