basket,monthly_atp,monthly_price,yearly_price,tournament_price,total_cost,choice
One tennis event,False,116,899,79,79.0,Tournament Chengdu
One tennis event,False,116,899,89,89.0,Tournament Chengdu
One tennis event,False,116,899,99,99.0,Tournament Chengdu
One tennis event,False,116,999,79,79.0,Tournament Chengdu
One tennis event,False,116,999,89,89.0,Tournament Chengdu
One tennis event,False,116,999,99,99.0,Tournament Chengdu
One tennis event,False,199,899,79,79.0,Tournament Chengdu
One tennis event,False,199,899,89,89.0,Tournament Chengdu
One tennis event,False,199,899,99,99.0,Tournament Chengdu
One tennis event,False,199,999,79,79.0,Tournament Chengdu
One tennis event,False,199,999,89,89.0,Tournament Chengdu
One tennis event,False,199,999,99,99.0,Tournament Chengdu
One tennis event,True,116,899,79,79.0,Tournament Chengdu
One tennis event,True,116,899,89,89.0,Tournament Chengdu
One tennis event,True,116,899,99,99.0,Tournament Chengdu
One tennis event,True,116,999,79,79.0,Tournament Chengdu
One tennis event,True,116,999,89,89.0,Tournament Chengdu
One tennis event,True,116,999,99,99.0,Tournament Chengdu
One tennis event,True,199,899,79,79.0,Tournament Chengdu
One tennis event,True,199,899,89,89.0,Tournament Chengdu
One tennis event,True,199,899,99,99.0,Tournament Chengdu
One tennis event,True,199,999,79,79.0,Tournament Chengdu
One tennis event,True,199,999,89,89.0,Tournament Chengdu
One tennis event,True,199,999,99,99.0,Tournament Chengdu
Two tennis events within 30d,False,116,899,79,158.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,False,116,899,89,178.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,False,116,899,99,198.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,False,116,999,79,158.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,False,116,999,89,178.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,False,116,999,99,198.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,False,199,899,79,158.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,False,199,899,89,178.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,False,199,899,99,198.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,False,199,999,79,158.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,False,199,999,89,178.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,False,199,999,99,198.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,True,116,899,79,116.0,Monthly 2026-10-06
Two tennis events within 30d,True,116,899,89,116.0,Monthly 2026-10-06
Two tennis events within 30d,True,116,899,99,116.0,Monthly 2026-10-06
Two tennis events within 30d,True,116,999,79,116.0,Monthly 2026-10-06
Two tennis events within 30d,True,116,999,89,116.0,Monthly 2026-10-06
Two tennis events within 30d,True,116,999,99,116.0,Monthly 2026-10-06
Two tennis events within 30d,True,199,899,79,158.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,True,199,899,89,178.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,True,199,899,99,198.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,True,199,999,79,158.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,True,199,999,89,178.0,Tournament Tokyo; Tournament Shanghai
Two tennis events within 30d,True,199,999,99,198.0,Tournament Tokyo; Tournament Shanghai
Late-season tennis six,False,116,899,79,399.0,ATP season
Late-season tennis six,False,116,899,89,399.0,ATP season
Late-season tennis six,False,116,899,99,399.0,ATP season
Late-season tennis six,False,116,999,79,399.0,ATP season
Late-season tennis six,False,116,999,89,399.0,ATP season
Late-season tennis six,False,116,999,99,399.0,ATP season
Late-season tennis six,False,199,899,79,399.0,ATP season
Late-season tennis six,False,199,899,89,399.0,ATP season
Late-season tennis six,False,199,899,99,399.0,ATP season
Late-season tennis six,False,199,999,79,399.0,ATP season
Late-season tennis six,False,199,999,89,399.0,ATP season
Late-season tennis six,False,199,999,99,399.0,ATP season
Late-season tennis six,True,116,899,79,232.0,Monthly 2026-09-29; Monthly 2026-11-01
Late-season tennis six,True,116,899,89,232.0,Monthly 2026-09-29; Monthly 2026-11-01
