scenario,channel,quantity,unit,cost,incremental_payers,icac,required_channel_ceiling,meets_180
Adverse,Paid occasions,1888.888888888889,paid clicks,40000.0,2.8333333333333335,14117.647058823528,180,False
Adverse,Owned lifecycle,9268.91437840343,one delivered message per eligible prospect,20000.0,18.53782875680686,1078.875,180,False
Adverse,Communities and contests,444.44444444444446,contest clicks,20000.0,10.399999999999999,1923.0769230769233,180,False
Adverse,Native creators,100.0,creator attributed clicks,10000.0,0.3,33333.333333333336,180,False
Working test,Paid occasions,3400.0,paid clicks,40000.0,30.599999999999998,1307.1895424836603,180,False
Working test,Owned lifecycle,9268.91437840343,one delivered message per eligible prospect,20000.0,92.6891437840343,215.77499999999998,180,False
Working test,Communities and contests,800.0,contest clicks,20000.0,37.44,534.1880341880342,180,False
Working test,Native creators,500.0,creator attributed clicks,10000.0,6.0,1666.6666666666667,180,False
Favourable,Paid occasions,6800.0,paid clicks,40000.0,183.6,217.8649237472767,180,False
Favourable,Owned lifecycle,9268.91437840343,one delivered message per eligible prospect,20000.0,278.06743135210286,71.92500000000001,180,True
Favourable,Communities and contests,1600.0,contest clicks,20000.0,112.32,178.06267806267806,180,True
Favourable,Native creators,1500.0,creator attributed clicks,10000.0,67.5,148.14814814814815,180,True
