event,HomeTeam,AwayTeam,start_utc,start_ist,sport,source_id
Vallecano vs Getafe,Vallecano,Getafe,2026-01-02 20:00:00+00:00,2026-01-03 01:30:00+05:30,La Liga,v4_laliga_2526
Celta vs Valencia,Celta,Valencia,2026-01-03 13:00:00+00:00,2026-01-03 18:30:00+05:30,La Liga,v4_laliga_2526
Osasuna vs Ath Bilbao,Osasuna,Ath Bilbao,2026-01-03 15:15:00+00:00,2026-01-03 20:45:00+05:30,La Liga,v4_laliga_2526
Elche vs Villarreal,Elche,Villarreal,2026-01-03 17:30:00+00:00,2026-01-03 23:00:00+05:30,La Liga,v4_laliga_2526
Espanol vs Barcelona,Espanol,Barcelona,2026-01-03 20:00:00+00:00,2026-01-04 01:30:00+05:30,La Liga,v4_laliga_2526
Sevilla vs Levante,Sevilla,Levante,2026-01-04 13:00:00+00:00,2026-01-04 18:30:00+05:30,La Liga,v4_laliga_2526
Real Madrid vs Betis,Real Madrid,Betis,2026-01-04 15:15:00+00:00,2026-01-04 20:45:00+05:30,La Liga,v4_laliga_2526
Alaves vs Oviedo,Alaves,Oviedo,2026-01-04 17:30:00+00:00,2026-01-04 23:00:00+05:30,La Liga,v4_laliga_2526
Mallorca vs Girona,Mallorca,Girona,2026-01-04 17:30:00+00:00,2026-01-04 23:00:00+05:30,La Liga,v4_laliga_2526
Sociedad vs Ath Madrid,Sociedad,Ath Madrid,2026-01-04 20:00:00+00:00,2026-01-05 01:30:00+05:30,La Liga,v4_laliga_2526
Getafe vs Sociedad,Getafe,Sociedad,2026-01-09 20:00:00+00:00,2026-01-10 01:30:00+05:30,La Liga,v4_laliga_2526
Oviedo vs Betis,Oviedo,Betis,2026-01-10 13:00:00+00:00,2026-01-10 18:30:00+05:30,La Liga,v4_laliga_2526
Villarreal vs Alaves,Villarreal,Alaves,2026-01-10 15:15:00+00:00,2026-01-10 20:45:00+05:30,La Liga,v4_laliga_2526
Girona vs Osasuna,Girona,Osasuna,2026-01-10 17:30:00+00:00,2026-01-10 23:00:00+05:30,La Liga,v4_laliga_2526
Valencia vs Elche,Valencia,Elche,2026-01-10 20:00:00+00:00,2026-01-11 01:30:00+05:30,La Liga,v4_laliga_2526
Vallecano vs Mallorca,Vallecano,Mallorca,2026-01-11 13:00:00+00:00,2026-01-11 18:30:00+05:30,La Liga,v4_laliga_2526
Levante vs Espanol,Levante,Espanol,2026-01-11 15:15:00+00:00,2026-01-11 20:45:00+05:30,La Liga,v4_laliga_2526
Sevilla vs Celta,Sevilla,Celta,2026-01-12 20:00:00+00:00,2026-01-13 01:30:00+05:30,La Liga,v4_laliga_2526
Espanol vs Girona,Espanol,Girona,2026-01-16 20:00:00+00:00,2026-01-17 01:30:00+05:30,La Liga,v4_laliga_2526
Real Madrid vs Levante,Real Madrid,Levante,2026-01-17 13:00:00+00:00,2026-01-17 18:30:00+05:30,La Liga,v4_laliga_2526
Mallorca vs Ath Bilbao,Mallorca,Ath Bilbao,2026-01-17 15:15:00+00:00,2026-01-17 20:45:00+05:30,La Liga,v4_laliga_2526
