tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_id
2025-0339,Brisbane,Hard,32,A,2024-12-30,378,208103,,,Jiri Lehecka,R,185.0,CZE,23.1,124187,,PR,Reilly Opelka,R,211.0,USA,27.3,4-1 RET,3,F,13.0,3.0,0.0,15.0,10.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,9.0,9.0,4.0,0.0,2.0,0.0,1.0,28.0,1660.0,293.0,176.0,sackmann_archive_2025
2025-0339,Brisbane,Hard,32,A,2024-12-30,377,124187,,PR,Reilly Opelka,R,211.0,USA,27.3,208659,,,Giovanni Mpetshi Perricard,R,203.0,FRA,21.4,6-3 7-6(4),3,SF,86.0,12.0,2.0,64.0,45.0,38.0,13.0,11.0,4.0,4.0,10.0,5.0,69.0,48.0,38.0,9.0,10.0,1.0,2.0,293.0,176.0,31.0,1561.0,sackmann_archive_2025
2025-0339,Brisbane,Hard,32,A,2024-12-30,376,208103,,,Jiri Lehecka,R,185.0,CZE,23.1,105777,2.0,,Grigor Dimitrov,R,191.0,BUL,33.6,6-4 4-4 RET,3,SF,83.0,4.0,3.0,52.0,26.0,22.0,17.0,9.0,0.0,0.0,6.0,2.0,49.0,32.0,24.0,12.0,9.0,1.0,2.0,28.0,1660.0,10.0,3350.0,sackmann_archive_2025
2025-0339,Brisbane,Hard,32,A,2024-12-30,375,124187,,PR,Reilly Opelka,R,211.0,USA,27.3,104925,1.0,,Novak Djokovic,R,188.0,SRB,37.6,7-6(6) 6-3,3,QF,100.0,16.0,1.0,64.0,49.0,38.0,13.0,11.0,1.0,1.0,8.0,1.0,73.0,53.0,38.0,12.0,10.0,4.0,5.0,293.0,176.0,7.0,3910.0,sackmann_archive_2025
2025-0339,Brisbane,Hard,32,A,2024-12-30,374,208659,,,Giovanni Mpetshi Perricard,R,203.0,FRA,21.4,210150,,,Jakub Mensik,R,193.0,CZE,19.3,7-5 7-6(5),3,QF,92.0,19.0,2.0,72.0,47.0,37.0,18.0,12.0,0.0,0.0,10.0,5.0,78.0,48.0,38.0,16.0,12.0,1.0,2.0,31.0,1561.0,48.0,1136.0,sackmann_archive_2025
2025-0339,Brisbane,Hard,32,A,2024-12-30,373,208103,,,Jiri Lehecka,R,185.0,CZE,23.1,111797,,,Nicolas Jarry,R,201.0,CHI,29.2,6-4 6-4,3,QF,89.0,10.0,2.0,66.0,39.0,31.0,14.0,10.0,5.0,5.0,8.0,2.0,62.0,39.0,28.0,11.0,10.0,3.0,5.0,28.0,1660.0,35.0,1370.0,sackmann_archive_2025
2025-0339,Brisbane,Hard,32,A,2024-12-30,372,105777,2.0,,Grigor Dimitrov,R,191.0,BUL,33.6,111442,8.0,,Jordan Thompson,R,183.0,AUS,30.6,6-1 2-1 RET,3,QF,43.0,1.0,1.0,31.0,21.0,19.0,5.0,5.0,0.0,0.0,1.0,1.0,26.0,12.0,7.0,6.0,5.0,1.0,4.0,10.0,3350.0,26.0,1745.0,sackmann_archive_2025
2025-0339,Brisbane,Hard,32,A,2024-12-30,371,104925,1.0,,Novak Djokovic,R,188.0,SRB,37.6,104792,,,Gael Monfils,R,193.0,FRA,38.3,6-3 6-3,3,R16,72.0,5.0,1.0,52.0,34.0,26.0,12.0,9.0,1.0,1.0,4.0,4.0,48.0,34.0,21.0,6.0,9.0,0.0,3.0,7.0,3910.0,55.0,1005.0,sackmann_archive_2025
2025-0339,Brisbane,Hard,32,A,2024-12-30,370,124187,,PR,Reilly Opelka,R,211.0,USA,27.3,208286,,,Matteo Arnaldi,R,185.0,ITA,23.8,7-6(9) 7-6(4),3,R16,116.0,25.0,6.0,86.0,58.0,49.0,13.0,12.0,1.0,2.0,8.0,2.0,75.0,40.0,34.0,21.0,12.0,1.0,2.0,293.0,176.0,37.0,1345.0,sackmann_archive_2025
2025-0339,Brisbane,Hard,32,A,2024-12-30,369,208659,,,Giovanni Mpetshi Perricard,R,203.0,FRA,21.4,126207,4.0,,Frances Tiafoe,R,188.0,USA,26.9,6-4 7-6(4),3,R16,92.0,20.0,4.0,75.0,50.0,40.0,11.0,11.0,2.0,2.0,6.0,2.0,72.0,38.0,31.0,16.0,11.0,2.0,3.0,31.0,1561.0,18.0,2585.0,sackmann_archive_2025
