video_id,title,displayed_views,views,publication_label,source_id,star_mention,highlight_mention
KlB9uirfQXY,Felix Balshaw vs Dhakshineswar Suresh | Bengaluru Open 2026 | Full Match Highlights,"3,418 views",3418,8 months ago,fancode_youtube_tennis_search,False,True
O8J4kXXFG-0,Karan Singh vs Borna Gojo | Bengaluru Open 2026 | Full Match Highlights,722 views,722,8 months ago,fancode_youtube_tennis_search,False,True
hm2UjXsuPgI,Matej Dodig vs Manas Dhamne | Bengaluru Open 2026 | Full Match Highlights,911 views,911,8 months ago,fancode_youtube_tennis_search,False,True
zFO9uRdhJ7Q,Duje Ajdukovic vs Dhakshineswar Suresh | Bengaluru Open 2026 | Full Match Highlights,518 views,518,8 months ago,fancode_youtube_tennis_search,False,True
YqpKHieRAF4,Sumit Nagal vs Harold Mayot | Bengaluru Open 2026 | Full Match Highlights,"10,850 views",10850,8 months ago,fancode_youtube_tennis_search,False,True
SFfWHzspCGo,Matteo Martineau vs Manas Dhamne | Bengaluru Open 2026 | Full Match Highlights,"1,246 views",1246,8 months ago,fancode_youtube_tennis_search,False,True
uxGA_l3dtio,Dhakshineswar Suresh vs Harold Mayot | Bengaluru Open 2026 | Full Match Highlights,"3,074 views",3074,8 months ago,fancode_youtube_tennis_search,False,True
6BfqgUNOjUA,Beibit Zhukayev vs Manas Dhamne | Bengaluru Open 2026 | Full Match Highlights,931 views,931,8 months ago,fancode_youtube_tennis_search,False,True
FuufbHGyJGM,Timofey Skatov vs Harold Mayot | Bengaluru Open 2026 | Full Match Highlights,191 views,191,8 months ago,fancode_youtube_tennis_search,False,True
kwwQyboXSEw,"Alcaraz Beats Sinner 7-5, 7-6 (8-6) In Entertaining Hyundai Card Super Match | Full Match Highlights","1,324 views",1324,8 months ago,fancode_youtube_tennis_search,True,True
wUVVyJs0w-s,Carlos Alcaraz vs Sebastian Korda | ATP Masters | Miami Open 2026,"5,996 views",5996,5 months ago,fancode_youtube_atp_search,True,False
lDkhiYZb6c0,Dhakshineswar Suresh stuns World No. 13 Daniil Medvedev | World Tennis League,"22,831 views",22831,8 months ago,fancode_youtube_tennis_search,False,False
EizJK_NJ6Zw,Carlos Alcaraz vs Daniil Medvedev | ATP Masters BNP Paribas Open 2026 | Match Highlights,"7,697 views",7697,5 months ago,fancode_youtube_tennis_search,True,True
6pzMKQmAk78,AOS Eagles vs Aussie Mavericks Kites | World Tennis League | 2025 | Extended Highlights,"3,818 views",3818,8 months ago,fancode_youtube_tennis_search,False,True
I3Uh7J7rWt0,Bradon Nakashima vs Mattia Bellucci | ATP 500 | Nexo Dallas Open | 2026 | Full Match Highlights,"3,213 views",3213,7 months ago,fancode_youtube_tennis_search,False,True
s5PzLsM7ohQ,Aryan Shah vs Beibit Zhukayev | Bengaluru Open 2026 | Full Match Highlights,586 views,586,8 months ago,fancode_youtube_atp_search,False,True
szVov6DrMJw,S. Shimabukuro vs M Giron | Delray Beach Open | 2026 | ATP 250 | Full Match Highlights,107 views,107,6 months ago,fancode_youtube_atp_search,False,True
5ywW2nWBWbs,Carlos Alcaraz vs Sebastian Baez | ATP Masters | Rolex Monte Carlo Masters | 2026,"1,830 views",1830,5 months ago,fancode_youtube_tennis_search,True,False
UOYVkO1iy8w,Game Changers Falcons vs Aussie Mavericks Kites | World Tennis League | 2025 | Extended Highlights,"3,443 views",3443,8 months ago,fancode_youtube_tennis_search,False,True
E83rIfqHOOs,Serving Rockets | D. Suresh Overpowers Duje Ajduković | Bengaluru Open,"8,792 views",8792,8 months ago,fancode_youtube_tennis_search,False,False
ppDlhiD0AYw,When an Exhibition Match Becomes Elite | Alcaraz & Sinner Light It Up | Super Match,"14,445 views",14445,8 months ago,fancode_youtube_tennis_search,True,False
wll0GlrFE_w,Carlos Alcaraz vs Valentin Vacherot | Rolex Monte Carlo Masters | 2026,"1,671 views",1671,5 months ago,fancode_youtube_tennis_search,True,False
CkEStEKt7tQ,Carlos Alcaraz vs Alexander Bublik | Rolex Monte Carlo Masters | 2026,"1,853 views",1853,5 months ago,fancode_youtube_tennis_search,True,False
6fi5uFNkgDM,Tommy Paul vs Arthur Fils | ATP Masters | Miami Open 2026,"1,181 views",1181,5 months ago,fancode_youtube_atp_search,False,False
pNNOJTjpHnE,The Ultimate Tennis Experience! | Dubai Duty Free Tennis Championships,329 views,329,6 months ago,fancode_youtube_tennis_search,False,False
0NkV5BrmMAU,P. Kypson vs T.Atmane | Delray Beach Open | 2026 | ATP 250 | Full Match Highlights,"1,309 views",1309,6 months ago,fancode_youtube_atp_search,False,True
GXFoUxOKYWA,AOS Eagles vs Game Changers Falcons | World Tennis League | 2025 | Extended Highlights,"3,590 views",3590,8 months ago,fancode_youtube_tennis_search,False,True
_K9o5gvD81c,Sinner Coming For Alcaraz's Throne? | Monte-Carlo Masters on FanCode,306 views,306,5 months ago,fancode_youtube_tennis_search,True,False
m4-qfJdBuYA,Carlos Alcaraz vs Arthur Fils | ATP 500 | Qatar ExxonMobil Open | 2026 | Full Match Highlights,"7,216 views",7216,6 months ago,fancode_youtube_atp_search,True,True
MPHJyI8qpTA,Novak Djokovic vs Kamil Majchrzak | ATP 1000 | BNP Paribas Open 2026 | Highlights,866 views,866,6 months ago,fancode_youtube_atp_search,True,True
nSp9p-5kuHE,When The Impossible Shot Challenge Took Over the ATP Tour | ATP Tour This Week,186 views,186,7 months ago,fancode_youtube_atp_search,False,False
Hs8pFWuoN7k,Bhambri/Goransson vs Rinderknech/Vacherot | ATP Masters BNP Paribas Open 2026 | Match Highlights,225 views,225,6 months ago,fancode_youtube_atp_search,False,True
PHwEBu_aLCM,Stefanos Tsitsipas vs Andrey Rublev | ATP 500 | Qatar ExxonMobil Open | 2026 | Full Match Highlights,220 views,220,6 months ago,fancode_youtube_atp_search,False,True
o7pzfb8B0K0,DK Suresh gets his first ATP Tour main draw win 🇮🇳 #Shorts #ATP #WinstonSalemOpen #DKSuresh #Tennis,"2,210 views",2210,2 weeks ago,fancode_youtube_atp_search,False,False
_BtqnD9OSw0,Carlos Alcaraz vs Arthur | ATP 500 | Qatar ExxonMobil Open | 2026 | Full Match Highlights,977 views,977,6 months ago,fancode_youtube_atp_search,True,True
hfgWhgPHuCk,Rei Sakamoto vs Daniil Medvedev | ATP Masters | Miami Open 2026 | 2026,810 views,810,5 months ago,fancode_youtube_atp_search,False,False
I8DijCRCVfU,Carlos Alcaraz vs Arthur Rinderknech | ATP Masters BNP Paribas Open 2026 | Match Highlights,"5,685 views",5685,6 months ago,fancode_youtube_atp_search,True,True
P33Ws_gBmPE,Jannik Sinner VS Daniil Medvedev | ATP Masters BNP Paribas Open 2026 | Match Highlights,"4,356 views",4356,5 months ago,fancode_youtube_atp_search,True,True
5pGdbQS88B0,Alexander Bublik vs Felix Auger-Aliassime | ATP 500 | ABN Amro Open | 2026 | Full Match Highlights,169 views,169,6 months ago,fancode_youtube_atp_search,False,True
noWP-g-JJ7U,Joao Fonseca vs Jannik Sinner | ATP Masters BNP Paribas Open 2026 | Match Highlights,"3,123 views",3123,6 months ago,fancode_youtube_atp_search,True,True
WXnYSzk7qGo,Novak Djokovic vs Aleksandar Kovacevic | ATP 1000 | BNP Paribas Open 2026 | Highlights,"56,262 views",56262,6 months ago,fancode_youtube_atp_search,True,True
jukiYZd0mAI,Denis Shapovalov vs A Davidovich Fokina | ATP 500 | Nexo Dallas Open | 2026 | Full Match Highlights,90 views,90,6 months ago,fancode_youtube_atp_search,False,True
ZzlI7wxT9V8,Jiri Lehecka vs Arthur Fils | ATP 500 | Qatar ExxonMobil Open | 2026 | Full Match Highlights,269 views,269,6 months ago,fancode_youtube_atp_search,False,True
kFIhYDDDkYs,Carlos Alcaraz vs Otto Virtanen | ATP 500 - Barcelona Open Banc Sabadell 2026 | Highlights,"1,139 views",1139,4 months ago,fancode_youtube_atp_search,True,True
dlg4jvBD_W8,Marton Fucsovics vs Karen Khachnov  | ATP 500 | Qatar ExxonMobil Open | 2026 | Full Match Highlights,248 views,248,6 months ago,fancode_youtube_atp_search,False,True
4L-9wQ3cHjI,Arthur Fils vs Jakub Mensik | ATP 500 | Qatar ExxonMobil Open | 2026 | Full Match Highlights,"2,499 views",2499,6 months ago,fancode_youtube_atp_search,False,True
Uw32eZY5xKw,Valentin Vacherot vs Casper Ruud | ATP Masters BNP Paribas Open 2026 | Match Highlights,497 views,497,6 months ago,fancode_youtube_atp_search,False,True
ID3lvwVlF_E,Alexander Zevrev vs Jannik Sinner | ATP Masters BNP Paribas Open 2026 | Match Highlights,"1,173 views",1173,5 months ago,fancode_youtube_atp_search,True,True
MNKSBfL2brk,Roberto Bautista Agut vs Cameron Norrie | ATP 500 | ABN Amro Open | 2026 | Full Match Highlights,615 views,615,7 months ago,fancode_youtube_atp_search,False,True
AEpOKCB_tjQ,Jaume Munar vs Alexander Bublik | ATP 500 | ABN Amro Open | 2026 | Full Match Highlights,296 views,296,6 months ago,fancode_youtube_atp_search,False,True
b_swfpN5QT4,Jesper De Jong vs Andrey Rublev | ATP 500 | Qatar ExxonMobil Open | 2026 | Full Match Highlights,111 views,111,6 months ago,fancode_youtube_atp_search,False,True
LW8n7WRa9dE,ATP Tour This Week: Is 2026 the Year Someone Finally Stops Alcaraz & Sinner?,124 views,124,7 months ago,fancode_youtube_atp_search,True,False
A0g0tfgyUU8,Learner Tein vs Jannik Sinner | ATP Masters BNP Paribas Open 2026 | Match Highlights,575 views,575,6 months ago,fancode_youtube_atp_search,True,True
