event,tier,window,delay_minutes,starts_in_window
Brisbane,250,18:00–23:00,0,False
Hong Kong,250,18:00–23:00,0,False
Rotterdam,500,18:00–23:00,0,True
Doha,500,18:00–23:00,0,False
Dubai,500,18:00–23:00,0,True
Indian Wells,Masters,18:00–23:00,0,False
Miami,Masters,18:00–23:00,0,True
Marrakech,250,18:00–23:00,0,True
Madrid,Masters,18:00–23:00,0,True
Rome,Masters,18:00–23:00,0,True
Halle,500,18:00–23:00,0,True
Winston-Salem,250,18:00–23:00,0,False
Brisbane,250,18:00–23:00,30,False
Hong Kong,250,18:00–23:00,30,False
Rotterdam,500,18:00–23:00,30,True
Doha,500,18:00–23:00,30,False
Dubai,500,18:00–23:00,30,True
Indian Wells,Masters,18:00–23:00,30,False
Miami,Masters,18:00–23:00,30,True
Marrakech,250,18:00–23:00,30,True
Madrid,Masters,18:00–23:00,30,True
Rome,Masters,18:00–23:00,30,True
Halle,500,18:00–23:00,30,True
Winston-Salem,250,18:00–23:00,30,False
Brisbane,250,18:00–23:00,60,False
Hong Kong,250,18:00–23:00,60,False
Rotterdam,500,18:00–23:00,60,True
Doha,500,18:00–23:00,60,False
Dubai,500,18:00–23:00,60,True
Indian Wells,Masters,18:00–23:00,60,False
Miami,Masters,18:00–23:00,60,False
Marrakech,250,18:00–23:00,60,True
Madrid,Masters,18:00–23:00,60,True
Rome,Masters,18:00–23:00,60,True
Halle,500,18:00–23:00,60,True
Winston-Salem,250,18:00–23:00,60,False
Brisbane,250,18:00–23:00,120,False
Hong Kong,250,18:00–23:00,120,False
Rotterdam,500,18:00–23:00,120,True
Doha,500,18:00–23:00,120,False
Dubai,500,18:00–23:00,120,True
Indian Wells,Masters,18:00–23:00,120,False
Miami,Masters,18:00–23:00,120,False
Marrakech,250,18:00–23:00,120,True
Madrid,Masters,18:00–23:00,120,True
Rome,Masters,18:00–23:00,120,True
Halle,500,18:00–23:00,120,True
Winston-Salem,250,18:00–23:00,120,False
Brisbane,250,19:00–24:00,0,False
Hong Kong,250,19:00–24:00,0,False
Rotterdam,500,19:00–24:00,0,True
Doha,500,19:00–24:00,0,True
Dubai,500,19:00–24:00,0,True
Indian Wells,Masters,19:00–24:00,0,False
Miami,Masters,19:00–24:00,0,True
Marrakech,250,19:00–24:00,0,True
Madrid,Masters,19:00–24:00,0,True
Rome,Masters,19:00–24:00,0,True
Halle,500,19:00–24:00,0,True
Winston-Salem,250,19:00–24:00,0,False
Brisbane,250,19:00–24:00,30,False
Hong Kong,250,19:00–24:00,30,False
Rotterdam,500,19:00–24:00,30,True
Doha,500,19:00–24:00,30,False
Dubai,500,19:00–24:00,30,True
Indian Wells,Masters,19:00–24:00,30,False
Miami,Masters,19:00–24:00,30,True
Marrakech,250,19:00–24:00,30,True
Madrid,Masters,19:00–24:00,30,True
Rome,Masters,19:00–24:00,30,True
Halle,500,19:00–24:00,30,True
Winston-Salem,250,19:00–24:00,30,False
Brisbane,250,19:00–24:00,60,False
Hong Kong,250,19:00–24:00,60,False
Rotterdam,500,19:00–24:00,60,True
Doha,500,19:00–24:00,60,False
Dubai,500,19:00–24:00,60,True
Indian Wells,Masters,19:00–24:00,60,False
Miami,Masters,19:00–24:00,60,True
Marrakech,250,19:00–24:00,60,True
Madrid,Masters,19:00–24:00,60,True
Rome,Masters,19:00–24:00,60,True
Halle,500,19:00–24:00,60,True
Winston-Salem,250,19:00–24:00,60,False
Brisbane,250,19:00–24:00,120,False
Hong Kong,250,19:00–24:00,120,False
Rotterdam,500,19:00–24:00,120,True
Doha,500,19:00–24:00,120,False
Dubai,500,19:00–24:00,120,True
Indian Wells,Masters,19:00–24:00,120,False
Miami,Masters,19:00–24:00,120,False
Marrakech,250,19:00–24:00,120,True
Madrid,Masters,19:00–24:00,120,True
Rome,Masters,19:00–24:00,120,True
Halle,500,19:00–24:00,120,True
Winston-Salem,250,19:00–24:00,120,False
Brisbane,250,17:00–24:00,0,False
Hong Kong,250,17:00–24:00,0,False
Rotterdam,500,17:00–24:00,0,True
Doha,500,17:00–24:00,0,True
Dubai,500,17:00–24:00,0,True
Indian Wells,Masters,17:00–24:00,0,False
Miami,Masters,17:00–24:00,0,True
Marrakech,250,17:00–24:00,0,True
Madrid,Masters,17:00–24:00,0,True
Rome,Masters,17:00–24:00,0,True
Halle,500,17:00–24:00,0,True
Winston-Salem,250,17:00–24:00,0,False
Brisbane,250,17:00–24:00,30,False
Hong Kong,250,17:00–24:00,30,False
Rotterdam,500,17:00–24:00,30,True
Doha,500,17:00–24:00,30,False
Dubai,500,17:00–24:00,30,True
Indian Wells,Masters,17:00–24:00,30,False
Miami,Masters,17:00–24:00,30,True
Marrakech,250,17:00–24:00,30,True
Madrid,Masters,17:00–24:00,30,True
Rome,Masters,17:00–24:00,30,True
Halle,500,17:00–24:00,30,True
Winston-Salem,250,17:00–24:00,30,False
Brisbane,250,17:00–24:00,60,False
Hong Kong,250,17:00–24:00,60,False
Rotterdam,500,17:00–24:00,60,True
Doha,500,17:00–24:00,60,False
Dubai,500,17:00–24:00,60,True
Indian Wells,Masters,17:00–24:00,60,False
Miami,Masters,17:00–24:00,60,True
Marrakech,250,17:00–24:00,60,True
Madrid,Masters,17:00–24:00,60,True
Rome,Masters,17:00–24:00,60,True
Halle,500,17:00–24:00,60,True
Winston-Salem,250,17:00–24:00,60,False
Brisbane,250,17:00–24:00,120,False
Hong Kong,250,17:00–24:00,120,False
Rotterdam,500,17:00–24:00,120,True
Doha,500,17:00–24:00,120,False
Dubai,500,17:00–24:00,120,True
Indian Wells,Masters,17:00–24:00,120,False
Miami,Masters,17:00–24:00,120,False
Marrakech,250,17:00–24:00,120,True
Madrid,Masters,17:00–24:00,120,True
Rome,Masters,17:00–24:00,120,True
