atp_event,rival,sport,min,max
Brisbane,Levante vs Espanol,La Liga,0.0,0.0
Brisbane,Vallecano vs Mallorca,La Liga,0.0,0.0
Doha,Ath Madrid vs Espanol,La Liga,0.0,90.0
Doha,Betis vs Vallecano,La Liga,0.0,0.0
Doha,Osasuna vs Real Madrid,La Liga,75.0,90.0
Doha,Sociedad vs Oviedo,La Liga,0.0,0.0
Dubai,Barcelona vs Villarreal,La Liga,75.0,120.0
Dubai,Mallorca vs Sociedad,La Liga,0.0,60.0
Dubai,Oviedo vs Ath Madrid,La Liga,0.0,0.0
Dubai,Vallecano vs Ath Bilbao,La Liga,0.0,0.0
Hong Kong,Levante vs Espanol,La Liga,0.0,0.0
Hong Kong,Vallecano vs Mallorca,La Liga,0.0,0.0
Indian Wells,Barcelona vs Sevilla,La Liga,0.0,0.0
Indian Wells,Betis vs Celta,La Liga,0.0,0.0
Indian Wells,Mallorca vs Espanol,La Liga,0.0,0.0
Indian Wells,Sociedad vs Osasuna,La Liga,45.0,60.0
Madrid,Betis vs Oviedo,La Liga,0.0,120.0
Madrid,Celta vs Elche,La Liga,0.0,0.0
Madrid,Espanol vs Real Madrid,La Liga,0.0,0.0
Madrid,Getafe vs Vallecano,La Liga,60.0,75.0
Madrid,Miami Grand Prix,F1,0.0,0.0
Marrakech,Alaves vs Osasuna,La Liga,0.0,0.0
Marrakech,Getafe vs Ath Bilbao,La Liga,0.0,0.0
Marrakech,Oviedo vs Sevilla,La Liga,0.0,60.0
Marrakech,Valencia vs Celta,La Liga,75.0,120.0
Rome,Ath Bilbao vs Celta,La Liga,0.0,90.0
Rome,Ath Madrid vs Girona,La Liga,0.0,90.0
Rome,Barcelona vs Betis,La Liga,0.0,0.0
Rome,Elche vs Getafe,La Liga,0.0,90.0
Rome,Levante vs Mallorca,La Liga,0.0,90.0
Rome,Osasuna vs Espanol,La Liga,0.0,90.0
Rome,Oviedo vs Alaves,La Liga,0.0,90.0
Rome,Sevilla vs Real Madrid,La Liga,0.0,90.0
Rome,Sociedad vs Valencia,La Liga,0.0,90.0
Rome,Vallecano vs Villarreal,La Liga,0.0,90.0
Rotterdam,Levante vs Valencia,La Liga,0.0,30.0
Rotterdam,Mallorca vs Betis,La Liga,0.0,0.0
Rotterdam,Oviedo vs Ath Bilbao,La Liga,15.0,30.0
Rotterdam,Vallecano vs Ath Madrid,La Liga,45.0,120.0
Winston-Salem,Levante vs Betis,La Liga,0.0,0.0
Winston-Salem,Sevilla vs Ath Madrid,La Liga,75.0,90.0
Winston-Salem,Sociedad vs Espanol,La Liga,0.0,0.0
