source_id,pdf_page,local_clock,semantics
v4_motogp_report_tha_spr,2,15:02'13,"Race-control clock, possible repeated restart history"
v4_motogp_report_tha_rac,1,15:02'07,"Race-control clock, possible repeated restart history"
v4_motogp_report_bra_spr,1,16:22'08,"Race-control clock, possible repeated restart history"
v4_motogp_report_bra_rac,1,15:01'58,"Race-control clock, possible repeated restart history"
v4_motogp_report_usa_spr,2,15:12'41,"Race-control clock, possible repeated restart history"
v4_motogp_report_usa_rac,1,15:02'36,"Race-control clock, possible repeated restart history"
v4_motogp_report_spa_spr,2,15:02'07,"Race-control clock, possible repeated restart history"
v4_motogp_report_spa_rac,2,14:02'05,"Race-control clock, possible repeated restart history"
v4_motogp_report_fra_spr,2,15:02'06,"Race-control clock, possible repeated restart history"
v4_motogp_report_fra_rac,1,14:01'57,"Race-control clock, possible repeated restart history"
v4_motogp_report_cat_spr,2,15:02'23,"Race-control clock, possible repeated restart history"
v4_motogp_report_cat_rac,2,14:02'17,"Race-control clock, possible repeated restart history"
v4_motogp_report_cat_rac2,2,14:02'17,"Race-control clock, possible repeated restart history"
v4_motogp_report_cat_rac2,2,14:53'06,"Race-control clock, possible repeated restart history"
v4_motogp_report_cat_rac2,3,15:16'58,"Race-control clock, possible repeated restart history"
v4_motogp_report_ita_spr,1,15:02'31,"Race-control clock, possible repeated restart history"
v4_motogp_report_ita_rac,1,14:02'19,"Race-control clock, possible repeated restart history"
v4_motogp_report_hun_spr,1,15:02'07,"Race-control clock, possible repeated restart history"
v4_motogp_report_hun_rac,2,14:02'07,"Race-control clock, possible repeated restart history"
v4_motogp_report_cze_spr,2,15:02'21,"Race-control clock, possible repeated restart history"
v4_motogp_report_cze_rac,2,14:02'23,"Race-control clock, possible repeated restart history"
v4_motogp_report_ned_spr,2,15:02'13,"Race-control clock, possible repeated restart history"
v4_motogp_report_ned_rac,2,14:02'03,"Race-control clock, possible repeated restart history"
v4_motogp_report_ger_spr,1,15:01'45,"Race-control clock, possible repeated restart history"
v4_motogp_report_ger_rac,1,14:01'46,"Race-control clock, possible repeated restart history"
v4_motogp_report_gbr_spr,2,16:07'37,"Race-control clock, possible repeated restart history"
v4_motogp_report_gbr_rac,2,13:02'33,"Race-control clock, possible repeated restart history"
v4_motogp_report_ara_spr,2,15:02'18,"Race-control clock, possible repeated restart history"
v4_motogp_report_ara_rac,1,14:02'20,"Race-control clock, possible repeated restart history"
v4_motogp_report_rsm_spr,2,15:01'56,"Race-control clock, possible repeated restart history"
v4_motogp_report_rsm_rac,2,14:01'59,"Race-control clock, possible repeated restart history"
