date,remaining_event_starts,reference_price,raw_inventory_price,candidate_rounded_price,proxy
2026-01-01,54,399,399.0,399,"Equal-weight event starts, excludes ongoing event replays"
2026-01-08,52,399,384.22222222222223,384,"Equal-weight event starts, excludes ongoing event replays"
2026-01-15,50,399,369.44444444444446,369,"Equal-weight event starts, excludes ongoing event replays"
2026-01-22,50,399,369.44444444444446,369,"Equal-weight event starts, excludes ongoing event replays"
2026-01-29,50,399,369.44444444444446,369,"Equal-weight event starts, excludes ongoing event replays"
2026-02-05,49,399,362.05555555555554,362,"Equal-weight event starts, excludes ongoing event replays"
2026-02-12,46,399,339.8888888888889,340,"Equal-weight event starts, excludes ongoing event replays"
2026-02-19,43,399,317.72222222222223,318,"Equal-weight event starts, excludes ongoing event replays"
2026-02-26,40,399,295.55555555555554,296,"Equal-weight event starts, excludes ongoing event replays"
2026-03-05,39,399,288.1666666666667,288,"Equal-weight event starts, excludes ongoing event replays"
2026-03-12,39,399,288.1666666666667,288,"Equal-weight event starts, excludes ongoing event replays"
2026-03-19,38,399,280.77777777777777,281,"Equal-weight event starts, excludes ongoing event replays"
2026-03-26,38,399,280.77777777777777,281,"Equal-weight event starts, excludes ongoing event replays"
2026-04-02,35,399,258.6111111111111,259,"Equal-weight event starts, excludes ongoing event replays"
2026-04-09,34,399,251.22222222222223,251,"Equal-weight event starts, excludes ongoing event replays"
2026-04-16,32,399,236.44444444444446,236,"Equal-weight event starts, excludes ongoing event replays"
2026-04-23,31,399,229.05555555555554,229,"Equal-weight event starts, excludes ongoing event replays"
2026-04-30,31,399,229.05555555555554,229,"Equal-weight event starts, excludes ongoing event replays"
2026-05-07,30,399,221.66666666666666,222,"Equal-weight event starts, excludes ongoing event replays"
2026-05-14,30,399,221.66666666666666,222,"Equal-weight event starts, excludes ongoing event replays"
2026-05-21,28,399,206.88888888888889,207,"Equal-weight event starts, excludes ongoing event replays"
2026-05-28,28,399,206.88888888888889,207,"Equal-weight event starts, excludes ongoing event replays"
2026-06-04,28,399,206.88888888888889,207,"Equal-weight event starts, excludes ongoing event replays"
2026-06-11,26,399,192.11111111111111,192,"Equal-weight event starts, excludes ongoing event replays"
2026-06-18,24,399,177.33333333333334,177,"Equal-weight event starts, excludes ongoing event replays"
2026-06-25,22,399,162.55555555555554,163,"Equal-weight event starts, excludes ongoing event replays"
2026-07-02,22,399,162.55555555555554,163,"Equal-weight event starts, excludes ongoing event replays"
2026-07-09,22,399,162.55555555555554,163,"Equal-weight event starts, excludes ongoing event replays"
2026-07-16,19,399,140.38888888888889,140,"Equal-weight event starts, excludes ongoing event replays"
2026-07-23,17,399,125.61111111111111,126,"Equal-weight event starts, excludes ongoing event replays"
2026-07-30,15,399,110.83333333333333,111,"Equal-weight event starts, excludes ongoing event replays"
2026-08-06,14,399,103.44444444444444,103,"Equal-weight event starts, excludes ongoing event replays"
2026-08-13,14,399,103.44444444444444,103,"Equal-weight event starts, excludes ongoing event replays"
2026-08-20,13,399,96.05555555555556,96,"Equal-weight event starts, excludes ongoing event replays"
2026-08-27,12,399,88.66666666666667,89,"Equal-weight event starts, excludes ongoing event replays"
2026-09-03,12,399,88.66666666666667,89,"Equal-weight event starts, excludes ongoing event replays"
2026-09-10,12,399,88.66666666666667,89,"Equal-weight event starts, excludes ongoing event replays"
2026-09-17,12,399,88.66666666666667,89,"Equal-weight event starts, excludes ongoing event replays"
2026-09-24,10,399,73.88888888888889,74,"Equal-weight event starts, excludes ongoing event replays"
2026-10-01,8,399,59.111111111111114,59,"Equal-weight event starts, excludes ongoing event replays"
2026-10-08,7,399,51.72222222222222,52,"Equal-weight event starts, excludes ongoing event replays"
2026-10-15,7,399,51.72222222222222,52,"Equal-weight event starts, excludes ongoing event replays"
2026-10-22,4,399,29.555555555555557,30,"Equal-weight event starts, excludes ongoing event replays"
2026-10-29,2,399,14.777777777777779,15,"Equal-weight event starts, excludes ongoing event replays"
2026-11-05,1,399,7.388888888888889,7,"Equal-weight event starts, excludes ongoing event replays"
2026-11-12,0,399,0.0,0,"Equal-weight event starts, excludes ongoing event replays"
2026-11-19,0,399,0.0,0,"Equal-weight event starts, excludes ongoing event replays"
