store,subset,topic,mentions,review_denominator,share,wilson_low,wilson_high
Android TV,All,stream_access,20,64,0.3125,0.21231066539482046,0.4339233570274815
Android TV,All,payment_entitlement,10,64,0.15625,0.08714842338206587,0.26428061772548783
Android TV,All,advertising,2,64,0.03125,0.008612138346171867,0.10697291770958317
Android TV,All,devices,14,64,0.21875,0.13502319406719474,0.33432783956625833
Android TV,All,support,0,64,0.0,0.0,0.05662405979280536
Android TV,All,quality,3,64,0.046875,0.016069016786292974,0.1289965374009369
Android TV,All,discovery_timing,2,64,0.03125,0.008612138346171867,0.10697291770958317
Android TV,Rating 1–2,stream_access,20,51,0.39215686274509803,0.270273409817598,0.5291484101605166
Android TV,Rating 1–2,payment_entitlement,10,51,0.19607843137254902,0.11015342512466689,0.3245807948136562
Android TV,Rating 1–2,advertising,2,51,0.0392156862745098,0.010821083352867071,0.1321630565536227
Android TV,Rating 1–2,devices,12,51,0.23529411764705882,0.14004948834462844,0.3676222516016529
Android TV,Rating 1–2,support,0,51,0.0,0.0,0.07004661989853146
Android TV,Rating 1–2,quality,3,51,0.058823529411764705,0.020206639422464645,0.15924626048800428
Android TV,Rating 1–2,discovery_timing,2,51,0.0392156862745098,0.010821083352867071,0.1321630565536227
Android mobile,All,stream_access,593,14665,0.040436413228775996,0.037366821954202156,0.04374670443851897
Android mobile,All,payment_entitlement,1613,14665,0.10998977156495056,0.10502769151390848,0.11515612244902179
Android mobile,All,advertising,419,14665,0.02857142857142857,0.02599604988444473,0.031393721569828954
Android mobile,All,devices,356,14665,0.024275485850664847,0.02190638977379862,0.026893746271726846
Android mobile,All,support,185,14665,0.01261506989430617,0.010932115982916464,0.014553295381721001
Android mobile,All,quality,357,14665,0.0243436754176611,0.02197115824563983,0.026965321219072125
Android mobile,All,discovery_timing,123,14665,0.008387316740538697,0.007034637092159598,0.009997482282916133
Android mobile,Rating 1–2,stream_access,527,4903,0.10748521313481542,0.09912084922373422,0.11646415952340693
Android mobile,Rating 1–2,payment_entitlement,1331,4903,0.2714664491127881,0.2592009382667037,0.2840897877926217
Android mobile,Rating 1–2,advertising,370,4903,0.07546400163165409,0.06839830558616362,0.0831944175664341
Android mobile,Rating 1–2,devices,240,4903,0.04894962267999184,0.04325538922214592,0.05535009108146678
Android mobile,Rating 1–2,support,170,4903,0.03467264939832755,0.029905082849741946,0.04016880515057112
Android mobile,Rating 1–2,quality,202,4903,0.0411992657556598,0.035985823389967225,0.04713107823471138
Android mobile,Rating 1–2,discovery_timing,78,4903,0.01590862737099735,0.012766246934387711,0.019808976895874433
iOS,All,stream_access,107,500,0.214,0.1803029999875953,0.2520581227564126
iOS,All,payment_entitlement,236,500,0.472,0.42862273473006285,0.5158042283357841
iOS,All,advertising,50,500,0.1,0.07667756273730171,0.1294219096319401
iOS,All,devices,67,500,0.134,0.10691500187152081,0.16666601534633546
iOS,All,support,50,500,0.1,0.07667756273730171,0.1294219096319401
iOS,All,quality,35,500,0.07,0.050759742945018095,0.09579718985191688
iOS,All,discovery_timing,22,500,0.044,0.02923395562860718,0.06571944287232848
iOS,Rating 1–2,stream_access,100,414,0.24154589371980675,0.20281333512826105,0.28503068924407254
iOS,Rating 1–2,payment_entitlement,218,414,0.5265700483091788,0.4784513108317829,0.5742002380645193
iOS,Rating 1–2,advertising,46,414,0.1111111111111111,0.08434186181912658,0.1450309225168146
iOS,Rating 1–2,devices,53,414,0.1280193236714976,0.09922149105678463,0.16365682439498525
iOS,Rating 1–2,support,47,414,0.11352657004830918,0.08645529991601156,0.14770398886504804
iOS,Rating 1–2,quality,30,414,0.07246376811594203,0.05122740410088314,0.10156130911316402
iOS,Rating 1–2,discovery_timing,17,414,0.04106280193236715,0.02579324377585535,0.06477091165165291
