source_id,url,raw_file,retrieved
fancode_ios_reviews_page1,https://itunes.apple.com/in/rss/customerreviews/page=1/id=1406379831/sortBy=mostRecent/json,data/raw/reviews/fancode_ios_reviews_page1__914bf56cd470.html,2026-09-13T15:31:33.697983+00:00
fancode_ios_reviews_page10,https://itunes.apple.com/in/rss/customerreviews/page=10/id=1406379831/sortBy=mostRecent/json,data/raw/reviews/fancode_ios_reviews_page10__fe6560261c8e.json,2026-09-13T19:32:40.840694+00:00
fancode_ios_reviews_page2,https://itunes.apple.com/in/rss/customerreviews/page=2/id=1406379831/sortBy=mostRecent/json,data/raw/reviews/fancode_ios_reviews_page2__51f8dafa74b6.json,2026-09-13T19:38:46.051995+00:00
fancode_ios_reviews_page3,https://itunes.apple.com/in/rss/customerreviews/page=3/id=1406379831/sortBy=mostRecent/json,data/raw/reviews/fancode_ios_reviews_page3__dd86a176a1e5.json,2026-09-13T19:32:39.464540+00:00
fancode_ios_reviews_page4,https://itunes.apple.com/in/rss/customerreviews/page=4/id=1406379831/sortBy=mostRecent/json,data/raw/reviews/fancode_ios_reviews_page4__bb6a70b4c548.json,2026-09-13T19:32:39.734184+00:00
fancode_ios_reviews_page5,https://itunes.apple.com/in/rss/customerreviews/page=5/id=1406379831/sortBy=mostRecent/json,data/raw/reviews/fancode_ios_reviews_page5__7bb2b0495fc7.json,2026-09-13T19:32:39.794918+00:00
fancode_ios_reviews_page6,https://itunes.apple.com/in/rss/customerreviews/page=6/id=1406379831/sortBy=mostRecent/json,data/raw/reviews/fancode_ios_reviews_page6__08bdc57a4441.json,2026-09-13T19:32:40.187011+00:00
fancode_ios_reviews_page7,https://itunes.apple.com/in/rss/customerreviews/page=7/id=1406379831/sortBy=mostRecent/json,data/raw/reviews/fancode_ios_reviews_page7__b26654b5b37a.json,2026-09-13T19:32:40.365922+00:00
fancode_ios_reviews_page8,https://itunes.apple.com/in/rss/customerreviews/page=8/id=1406379831/sortBy=mostRecent/json,data/raw/reviews/fancode_ios_reviews_page8__0d1298e30174.json,2026-09-13T19:32:40.497483+00:00
fancode_ios_reviews_page9,https://itunes.apple.com/in/rss/customerreviews/page=9/id=1406379831/sortBy=mostRecent/json,data/raw/reviews/fancode_ios_reviews_page9__46d9cafb4efe.json,2026-09-13T19:32:40.699443+00:00
