video_id,title,displayed_views,views,publication_label,source_id,star_mention,highlight_mention
WXnYSzk7qGo,Novak Djokovic vs Aleksandar Kovacevic | ATP 1000 | BNP Paribas Open 2026 | Highlights,"56,262 views",56262,6 months ago,fancode_youtube_atp_search,True,True
lDkhiYZb6c0,Dhakshineswar Suresh stuns World No. 13 Daniil Medvedev | World Tennis League,"22,831 views",22831,8 months ago,fancode_youtube_tennis_search,False,False
ppDlhiD0AYw,When an Exhibition Match Becomes Elite | Alcaraz & Sinner Light It Up | Super Match,"14,445 views",14445,8 months ago,fancode_youtube_tennis_search,True,False
YqpKHieRAF4,Sumit Nagal vs Harold Mayot | Bengaluru Open 2026 | Full Match Highlights,"10,850 views",10850,8 months ago,fancode_youtube_tennis_search,False,True
E83rIfqHOOs,Serving Rockets | D. Suresh Overpowers Duje Ajduković | Bengaluru Open,"8,792 views",8792,8 months ago,fancode_youtube_tennis_search,False,False
EizJK_NJ6Zw,Carlos Alcaraz vs Daniil Medvedev | ATP Masters BNP Paribas Open 2026 | Match Highlights,"7,697 views",7697,5 months ago,fancode_youtube_tennis_search,True,True
m4-qfJdBuYA,Carlos Alcaraz vs Arthur Fils | ATP 500 | Qatar ExxonMobil Open | 2026 | Full Match Highlights,"7,216 views",7216,6 months ago,fancode_youtube_atp_search,True,True
wUVVyJs0w-s,Carlos Alcaraz vs Sebastian Korda | ATP Masters | Miami Open 2026,"5,996 views",5996,5 months ago,fancode_youtube_atp_search,True,False
I8DijCRCVfU,Carlos Alcaraz vs Arthur Rinderknech | ATP Masters BNP Paribas Open 2026 | Match Highlights,"5,685 views",5685,6 months ago,fancode_youtube_atp_search,True,True
P33Ws_gBmPE,Jannik Sinner VS Daniil Medvedev | ATP Masters BNP Paribas Open 2026 | Match Highlights,"4,356 views",4356,5 months ago,fancode_youtube_atp_search,True,True
6pzMKQmAk78,AOS Eagles vs Aussie Mavericks Kites | World Tennis League | 2025 | Extended Highlights,"3,818 views",3818,8 months ago,fancode_youtube_tennis_search,False,True
GXFoUxOKYWA,AOS Eagles vs Game Changers Falcons | World Tennis League | 2025 | Extended Highlights,"3,590 views",3590,8 months ago,fancode_youtube_tennis_search,False,True
UOYVkO1iy8w,Game Changers Falcons vs Aussie Mavericks Kites | World Tennis League | 2025 | Extended Highlights,"3,443 views",3443,8 months ago,fancode_youtube_tennis_search,False,True
KlB9uirfQXY,Felix Balshaw vs Dhakshineswar Suresh | Bengaluru Open 2026 | Full Match Highlights,"3,418 views",3418,8 months ago,fancode_youtube_tennis_search,False,True
I3Uh7J7rWt0,Bradon Nakashima vs Mattia Bellucci | ATP 500 | Nexo Dallas Open | 2026 | Full Match Highlights,"3,213 views",3213,7 months ago,fancode_youtube_tennis_search,False,True
