fixed_cost,cac,variable,contribution_per_payer,required_new_payers
10000000.0,0,10,318.719193220339,31376.0
10000000.0,0,30,298.719193220339,33477.0
10000000.0,0,60,268.719193220339,37214.0
10000000.0,150,10,168.71919322033898,59271.0
10000000.0,150,30,148.71919322033898,67241.0
10000000.0,150,60,118.71919322033898,84233.0
10000000.0,175,10,143.71919322033898,69581.0
10000000.0,175,30,123.71919322033898,80829.0
10000000.0,175,60,93.71919322033898,106702.0
10000000.0,200,10,118.71919322033898,84233.0
10000000.0,200,30,98.71919322033898,101298.0
10000000.0,200,60,68.71919322033898,145520.0
