price,voucher_face,redemption_assumption,procurement_fraction_assumption,expected_reward_cost,contribution_after_reward,source_id
89,150,0.25,0.1,3.75,39.57332881355933,v3_fancode_terms
89,150,0.25,0.5,18.75,24.57332881355933,v3_fancode_terms
89,150,0.25,1.0,37.5,5.823328813559328,v3_fancode_terms
89,150,0.5,0.1,7.5,35.82332881355933,v3_fancode_terms
89,150,0.5,0.5,37.5,5.823328813559328,v3_fancode_terms
89,150,0.5,1.0,75.0,-31.67667118644067,v3_fancode_terms
89,150,1.0,0.1,15.0,28.32332881355933,v3_fancode_terms
89,150,1.0,0.5,75.0,-31.67667118644067,v3_fancode_terms
89,150,1.0,1.0,150.0,-106.67667118644067,v3_fancode_terms
399,500,0.25,0.1,12.5,286.219193220339,v3_fancode_terms
399,500,0.25,0.5,62.5,236.21919322033898,v3_fancode_terms
399,500,0.25,1.0,125.0,173.71919322033898,v3_fancode_terms
399,500,0.5,0.1,25.0,273.719193220339,v3_fancode_terms
399,500,0.5,0.5,125.0,173.71919322033898,v3_fancode_terms
399,500,0.5,1.0,250.0,48.71919322033898,v3_fancode_terms
399,500,1.0,0.1,50.0,248.71919322033898,v3_fancode_terms
399,500,1.0,0.5,250.0,48.71919322033898,v3_fancode_terms
399,500,1.0,1.0,500.0,-201.28080677966102,v3_fancode_terms
