repurchase_probability,opportunity_cap,expected_purchases,net_revenue,contribution_before_acquisition,contribution_after_175,variable
0.6,2,1.6,120.67796610169492,101.31732610169493,-73.68267389830507,10
0.6,2,1.6,120.67796610169492,69.31732610169493,-105.68267389830507,30
0.6,2,1.6,120.67796610169492,21.317326101694928,-153.68267389830507,60
0.6,3,1.96,147.83050847457628,124.11372447457629,-50.88627552542371,10
0.6,3,1.96,147.83050847457628,84.91372447457628,-90.08627552542372,30
0.6,3,1.96,147.83050847457628,26.113724474576284,-148.8862755254237,60
0.6,5,2.3056,173.8969491525424,145.9982669125424,-29.00173308745761,10
0.6,5,2.3056,173.8969491525424,99.8862669125424,-75.1137330874576,30
0.6,5,2.3056,173.8969491525424,30.71826691254239,-144.2817330874576,60
0.6,10,2.4848834560000004,187.4191759186441,157.35109214766172,-17.648907852338283,10
0.6,10,2.4848834560000004,187.4191759186441,107.6534230276617,-67.3465769723383,30
0.6,10,2.4848834560000004,187.4191759186441,33.10691934766169,-141.8930806523383,60
0.65,2,1.65,124.44915254237287,104.48349254237289,-70.51650745762711,10
0.65,2,1.65,124.44915254237287,71.48349254237289,-103.51650745762711,30
0.65,2,1.65,124.44915254237287,21.98349254237289,-153.0165074576271,60
0.65,3,2.0725,156.31567796610167,131.2375989661017,-43.7624010338983,10
0.65,3,2.0725,156.31567796610167,89.7875989661017,-85.2124010338983,30
0.65,3,2.0725,156.31567796610167,27.612598966101704,-147.3874010338983,60
0.65,5,2.5256312499999996,190.49252648305082,159.93137810555083,-15.068621894449166,10
0.65,5,2.5256312499999996,190.49252648305082,109.41875310555085,-65.58124689444915,30
0.65,5,2.5256312499999996,190.49252648305082,33.649815605550856,-141.35018439444914,60
0.65,10,2.8186778761582025,212.59519574413562,178.48806597147092,3.488065971470917,10
0.65,10,2.8186778761582025,212.59519574413562,122.11450844830686,-52.885491551693136,30
0.65,10,2.8186778761582025,212.59519574413562,37.55417216356079,-137.4458278364392,60
