price,watch_minutes,usd_inr_assumption,delivery_benchmark_cost,other_operations_assumption,pre_marketing_contribution,after_175
89,90,80,7.199999999999999,10,56.123328813559326,-118.87667118644067
89,90,90,8.1,10,55.22332881355933,-119.77667118644067
89,90,100,9.0,10,54.32332881355933,-120.67667118644067
89,600,80,48.0,10,15.323328813559328,-159.67667118644067
89,600,90,54.0,10,9.323328813559328,-165.67667118644067
89,600,100,60.0,10,3.3233288135593284,-171.67667118644067
89,1800,80,144.0,10,-80.67667118644067,-255.67667118644067
89,1800,90,162.0,10,-98.67667118644067,-273.6766711864407
89,1800,100,180.0,10,-116.67667118644067,-291.6766711864407
89,3600,80,288.0,10,-224.67667118644067,-399.6766711864407
89,3600,90,324.0,10,-260.6766711864407,-435.6766711864407
89,3600,100,360.0,10,-296.6766711864407,-471.6766711864407
399,90,80,7.199999999999999,10,311.519193220339,136.519193220339
399,90,90,8.1,10,310.61919322033896,135.61919322033896
399,90,100,9.0,10,309.719193220339,134.71919322033898
399,600,80,48.0,10,270.719193220339,95.71919322033898
399,600,90,54.0,10,264.719193220339,89.71919322033898
399,600,100,60.0,10,258.719193220339,83.71919322033898
399,1800,80,144.0,10,174.71919322033898,-0.2808067796610203
399,1800,90,162.0,10,156.71919322033898,-18.28080677966102
399,1800,100,180.0,10,138.71919322033898,-36.28080677966102
399,3600,80,288.0,10,30.71919322033898,-144.28080677966102
399,3600,90,324.0,10,-5.28080677966102,-180.28080677966102
399,3600,100,360.0,10,-41.28080677966102,-216.28080677966102
999,90,80,7.199999999999999,10,805.8337694915253,630.8337694915253
999,90,90,8.1,10,804.9337694915254,629.9337694915254
999,90,100,9.0,10,804.0337694915254,629.0337694915254
999,600,80,48.0,10,765.0337694915254,590.0337694915254
999,600,90,54.0,10,759.0337694915254,584.0337694915254
999,600,100,60.0,10,753.0337694915254,578.0337694915254
999,1800,80,144.0,10,669.0337694915254,494.0337694915254
999,1800,90,162.0,10,651.0337694915254,476.0337694915254
999,1800,100,180.0,10,633.0337694915254,458.0337694915254
999,3600,80,288.0,10,525.0337694915254,350.0337694915254
999,3600,90,324.0,10,489.0337694915254,314.0337694915254
999,3600,100,360.0,10,453.0337694915254,278.0337694915254
