programme_target,channel_ceiling,incremental_share,clicks,maximum_all_in_contest_or_takeover_fee,maximum_media_cpc_before_fixed,required_clicks_for_20000
150,135.0,0.3,500,1579.5,3.159,6331.117442228554
150,135.0,0.3,1000,3159.0,3.159,6331.117442228554
150,135.0,0.3,2000,6318.0,3.159,6331.117442228554
150,135.0,0.6,500,3159.0,6.318,3165.558721114277
150,135.0,0.6,1000,6318.0,6.318,3165.558721114277
150,135.0,0.6,2000,12636.0,6.318,3165.558721114277
150,135.0,0.9,500,4738.5,9.477,2110.372480742851
150,135.0,0.9,1000,9477.0,9.477,2110.372480742851
150,135.0,0.9,2000,18954.0,9.477,2110.372480742851
150,135.0,1.0,500,5265.0,10.53,1899.335232668566
150,135.0,1.0,1000,10530.0,10.53,1899.335232668566
150,135.0,1.0,2000,21060.0,10.53,1899.335232668566
200,180.0,0.3,500,2106.0,4.212,4748.338081671415
200,180.0,0.3,1000,4212.0,4.212,4748.338081671415
200,180.0,0.3,2000,8424.0,4.212,4748.338081671415
200,180.0,0.6,500,4212.0,8.424,2374.1690408357076
200,180.0,0.6,1000,8424.0,8.424,2374.1690408357076
200,180.0,0.6,2000,16848.0,8.424,2374.1690408357076
200,180.0,0.9,500,6318.0,12.636,1582.7793605571385
200,180.0,0.9,1000,12636.0,12.636,1582.7793605571385
200,180.0,0.9,2000,25272.0,12.636,1582.7793605571385
200,180.0,1.0,500,7020.0,14.04,1424.5014245014245
200,180.0,1.0,1000,14040.0,14.04,1424.5014245014245
200,180.0,1.0,2000,28080.0,14.04,1424.5014245014245
