baseline,relative_lift,treatment_rate,absolute_lift,users_per_arm,total_users
0.005,0.1,0.0055000000000000005,0.0005000000000000004,327737,655474
0.005,0.2,0.006,0.001,85686,171372
0.005,0.3,0.006500000000000001,0.0015000000000000005,39717,79434
0.005,0.5,0.0075,0.0024999999999999996,15443,30886
0.01,0.1,0.011000000000000001,0.0010000000000000009,163004,326008
0.01,0.2,0.012,0.002,42607,85214
0.01,0.3,0.013000000000000001,0.003000000000000001,19744,39488
0.01,0.5,0.015,0.004999999999999999,7674,15348
0.02,0.1,0.022000000000000002,0.0020000000000000018,80638,161276
0.02,0.2,0.024,0.004,21067,42134
0.02,0.3,0.026000000000000002,0.006000000000000002,9758,19516
0.02,0.5,0.03,0.009999999999999998,3789,7578
0.05,0.1,0.05500000000000001,0.0050000000000000044,31218,62436
0.05,0.2,0.06,0.009999999999999995,8143,16286
0.05,0.3,0.065,0.015,3766,7532
0.05,0.5,0.07500000000000001,0.02500000000000001,1458,2916
