acquisition_date,days_observed,eligible_30d,eligible_60d,eligible_90d
2026-06-01,103,True,True,True
2026-06-08,96,True,True,True
2026-06-15,89,True,True,False
2026-06-22,82,True,True,False
2026-06-29,75,True,True,False
2026-07-06,68,True,True,False
2026-07-13,61,True,True,False
2026-07-20,54,True,False,False
2026-07-27,47,True,False,False
2026-08-03,40,True,False,False
2026-08-10,33,True,False,False
2026-08-17,26,False,False,False
2026-08-24,19,False,False,False
2026-08-31,12,False,False,False
2026-09-07,5,False,False,False
